id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video
1106964753719668743,1106964753719668743,1552755938000,2019-03-16,18:05:38,CET,906836698444779525,foulardr,Foulard rouge 🧣,,Si ce soir les #giletsjaunes annoncent la tenue d’un #Acte19 c’est qu’ils cautionnent tout ce qu’il s’est passé aujourd’hui à Paris. #Acte18 #ActesXVIII pic.twitter.com/U3FECx7Glq,,[],"['https://pbs.twimg.com/media/D1y6kpfWoAEYUuj.jpg', 'https://pbs.twimg.com/media/D1y6kpiXgAAZNKV.jpg', 'https://pbs.twimg.com/media/D1y6kpfXcAYXKCb.jpg']",0,0,0,,"['#giletsjaunes', '#acte19', '#acte18', '#actesxviii']",https://twitter.com/FoulardR/status/1106964753719668743,,,0
1106962861165854720,1106962861165854720,1552755487000,2019-03-16,17:58:07,CET,1090011901864656902,gjmusulmans,Gilets Jaunes Musulmans,,#Acte18 plutôt réussi Beaucoup d'ambiance On regrette la présence massive de CRS et Gendarmes mobiles pour seulement 1312 manifestants. C'était pas nécessaire.  RAS à part ça.  On transforme l'essai pour l'#acte19.  Á samedi prochain.,,[],[],0,0,1,,"['#acte18', '#acte19']",https://twitter.com/GJMusulmans/status/1106962861165854720,,,0
1106962326144598018,1106864776397889536,1552755359000,2019-03-16,17:55:59,CET,993946874100043781,8mai20221,8 Mai 2022,,@Gendarmerie Vous voulez parler de vos collègues? #Acte18 #Acte19 #GiletsJaunes,['gendarmerie'],[],[],1,0,1,,"['#acte18', '#acte19', '#giletsjaunes']",https://twitter.com/8Mai20221/status/1106962326144598018,,,0
1106961845993259009,1106961845993259009,1552755245000,2019-03-16,17:54:05,CET,993946874100043781,8mai20221,8 Mai 2022,,@Gendarmerie Vous voulez parler de vos collègues? #Acte18 #Acte19 #GiletsJaunes https://twitter.com/Gendarmerie/status/1106864776397889536 …,['gendarmerie'],['https://twitter.com/Gendarmerie/status/1106864776397889536'],[],1,0,0,,"['#acte18', '#acte19', '#giletsjaunes']",https://twitter.com/8Mai20221/status/1106961845993259009,,https://twitter.com/Gendarmerie/status/1106864776397889536,0
1106956116985032704,1106956116985032704,1552753879000,2019-03-16,17:31:19,CET,623643491,blacksmilingcat,Le chat noir,,Bon ben #Acte19 la semaine prochaine ???  #Acte18,,[],[],2,0,0,,"['#acte19', '#acte18']",https://twitter.com/BlackSmilingCat/status/1106956116985032704,,,0
1106954677885849600,1106954677885849600,1552753536000,2019-03-16,17:25:36,CET,198788905,maximus_12346,Maximus,,#GiletsJaunes next week #Acte19  pic.twitter.com/SdHjMdA1FF,,[],['https://pbs.twimg.com/media/D1yw7UTWwAEmqCc.jpg'],0,0,0,,"['#giletsjaunes', '#acte19']",https://twitter.com/Maximus_12346/status/1106954677885849600,,,0
1106951489342312449,1106951489342312449,1552752775000,2019-03-16,17:12:55,CET,120865840,elisa6666,Élisabeth #Acte17 StopViolencesPolicieres,,"on va en bouffer du fouquet's!  par contre les violences policières on s attarde pas trop dessus, des fois que ... #dugland #acte18 #GiletJaunes #RIC #ACTE19  https://twitter.com/YahooActuFR/status/1106949330995503105 …",,['https://twitter.com/YahooActuFR/status/1106949330995503105'],[],1,0,0,,"['#dugland', '#acte18', '#giletjaunes', '#ric', '#acte19']",https://twitter.com/Elisa6666/status/1106951489342312449,,https://twitter.com/YahooActuFR/status/1106949330995503105,0
1106943827762446336,1106943827762446336,1552750949000,2019-03-16,16:42:29,CET,2810717458,jphtwittes,JPH Twittes,,Scènes de chaos sur les Champs-Elysées aujourd'hui 🔥🔥🔥 . L’#Acte18 a rassemblé beaucoup de #GiletsJaunes a #Paris pour manifester contre le #Macron et son gouvernement de faux-culs de #LREM 💥🚧💥 . Il y aura un #Acte19 ! Tant que #Macron ne cédera pas aux revendications 💥 pic.twitter.com/sn2bZd1K5f,,[],['https://pbs.twimg.com/media/D1ynioRX4AE1b_l.jpg'],2,1,0,,"['#acte18', '#giletsjaunes', '#paris', '#macron', '#lrem', '#acte19', '#macron']",https://twitter.com/jphtwittes/status/1106943827762446336,,,0
1106943735244431361,1106943735244431361,1552750927000,2019-03-16,16:42:07,CET,576150916,jphnomade,  J.P.H  ,,Scènes de chaos sur les Champs-Elysées aujourd'hui 🔥🔥🔥 . L’#Acte18 a rassemblé beaucoup de #GiletsJaunes a #Paris pour manifester contre le #Macron et son gouvernement de faux-culs de #LREM 💥🚧💥 . Il y aura un #Acte19 ! Tant que #Macron ne cédera pas aux revendications 💥 pic.twitter.com/ZxSkWpUxJm,,[],['https://pbs.twimg.com/media/D1yndM-WwAEXrxR.jpg'],0,2,2,,"['#acte18', '#giletsjaunes', '#paris', '#macron', '#lrem', '#acte19', '#macron']",https://twitter.com/jphnomade/status/1106943735244431361,,,0
1106926356317831171,1106926356317831171,1552746783000,2019-03-16,15:33:03,CET,1024171677834457088,avincen59706891,A_Vincent  🇫🇷,,"Le Président #Macron et Madame sont en #vacances à la Mongie.  ""Je vais passer deux-trois jours ici pour me ressourcer, retrouver des paysages et des visages amis"" Pour cela, le souhaite un #Acte19. #GiletsJaunes https://www.rtl.fr/actu/politique/hautes-pyrenees-emmanuel-macron-decompresse-a-la-station-de-ski-de-la-mongie-7797222606/amp?__twitter_impression=true …",,['https://www.rtl.fr/actu/politique/hautes-pyrenees-emmanuel-macron-decompresse-a-la-station-de-ski-de-la-mongie-7797222606/amp?__twitter_impression=true'],[],0,1,0,,"['#macron', '#vacances', '#acte19', '#giletsjaunes']",https://twitter.com/AVincen59706891/status/1106926356317831171,,,0
