id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video
1106961718956167170,1106961718956167170,1552755214000,2019-03-16,17:53:34,CET,745992482387812352,christoblanchet,Christophe Blanchet,,Les #attaques qu’on subi les forces de l’ordre aujourd’hui sont inacceptables et doivent faire l’objet d’une réponse forte et intransigeante. @CCastaner La #République ne cédera rien à une horde de casseurs anarchistes qui ne représentent plus qu’eux mêmes.  #Acte17 #blackblocs,['ccastaner'],[],[],1,4,7,,"['#attaques', '#république', '#acte17', '#blackblocs']",https://twitter.com/christoblanchet/status/1106961718956167170,,,0
1106945733952004102,1106916281909985282,1552751403000,2019-03-16,16:50:03,CET,446154076,soazicb,soaz,,La cour des miracles est de sortie . #Acte17  pic.twitter.com/yHRFf1SGrc,['bestofgj'],[],[],0,0,1,,['#acte17'],https://twitter.com/SoazicB/status/1106945733952004102,,,1
1106945128667725824,1106945128667725824,1552751259000,2019-03-16,16:47:39,CET,3120746127,jeremytweeteici,Jéréмy,,"Opération communication inutile. Face à cette journée particulièrement violente (et qui n’est pas terminée), il est temps d’arrêter et d’agir. Ça va mal finir...  #acte17 #ActesXVIII pic.twitter.com/4EgRibQE2d",,[],['https://pbs.twimg.com/media/D1youMjXgAIXjEt.jpg'],2,0,2,,"['#acte17', '#actesxviii']",https://twitter.com/jeremytweeteici/status/1106945128667725824,,,0
1106936530281656320,1106891520177852416,1552749209000,2019-03-16,16:13:29,CET,1067802137676181506,stpaul1955,Sniper.,,"Fin Acte17 CASTANER se décharge, début Acte 18, la police charge. Un cercle vicieux.","['arianewalter', 'johnrobgi']",[],[],0,2,2,,[],https://twitter.com/stpaul1955/status/1106936530281656320,,,0
1106921187727339521,1106921187727339521,1552745551000,2019-03-16,15:12:31,CET,1016256953931259905,kappa314159,Kappa,,@afpfr @lemondefr @france24 @CNEWS @BFMTV @le_Parisien @Le_Figaro Les GJ responsables des violences #Giletsjaunes #ActesXVII #Acte17  https://twitter.com/kappa314159/st … https://twitter.com/kappa314159/status/1106920861938929664 …,"['afpfr', 'lemondefr', 'france24', 'cnews', 'bfmtv', 'le_parisien', 'le_figaro']","['https://twitter.com/kappa314159/st', 'https://twitter.com/kappa314159/status/1106920861938929664']",[],0,0,0,,"['#giletsjaunes', '#actesxvii', '#acte17']",https://twitter.com/Kappa314159/status/1106921187727339521,,https://twitter.com/Kappa314159/status/1106920861938929664,0
1106919943050809344,1106919943050809344,1552745254000,2019-03-16,15:07:34,CET,252800491,kkerima,Kerima,,"Une pensée aux copains, à la famille, une pensée pour les amies dans l'inquiétude. Il est difficile d'être forces de l'ordre en france. Courage à vous tous #Acte17 #GiletsJaunes",,[],[],1,1,10,,"['#acte17', '#giletsjaunes']",https://twitter.com/kkerima/status/1106919943050809344,,,0
1106917524342476800,1106917524342476800,1552744677000,2019-03-16,14:57:57,CET,86406337,franki_kuka,F.Micheli,,Watch @btxvo33's  #acte17 #gilesjaune #bordeaux #manifestation je suis de retour en live https://www.pscp.tv/w/b1z4VjFWR1F2RE96QUJsak98MWRSS1pPTVZvWnpHQpb354-RcNhufbNsH9_iGI53IuEyVrtLPe9w1ZUIpW_c …,['btxvo33'],['https://www.pscp.tv/w/b1z4VjFWR1F2RE96QUJsak98MWRSS1pPTVZvWnpHQpb354-RcNhufbNsH9_iGI53IuEyVrtLPe9w1ZUIpW_c'],[],0,1,0,,"['#acte17', '#gilesjaune', '#bordeaux', '#manifestation']",https://twitter.com/franki_kuka/status/1106917524342476800,,,0
1106911230827081729,1106911230827081729,1552743177000,2019-03-16,14:32:57,CET,869967847329550344,greenb1968,GreenBarjφjonov Mº333 ☮️ #socio 🐝 🦍🌺🌍🐉,,"Ami Gilet Jaune, pendant que tu craches du sang, sache que ton Présipathe continue d’engraisser  Google pour faire la pub de son faux débat, qui est fini depuis hier ! De rien #acte17  pic.twitter.com/Umv77P4Ptx",,[],['https://pbs.twimg.com/media/D1yJ5MhX0AAPyIw.jpg'],0,2,0,,['#acte17'],https://twitter.com/GreenB1968/status/1106911230827081729,,,0
1106907551139094529,1106907551139094529,1552742300000,2019-03-16,14:18:20,CET,1071772519613558784,neya04338631,neya,,"Après l’#Acte17 des #GiletsJaunes, #Castaner faisait la fiesta en boîte de nuit. C’est son droit le plus absolu. Mais qu’« on » ne vienne pas, ensuite,  donner des leçons de morale et de comportement aux Français en les traitant de tous les noms. Brigade... ou #ŒilDuTigre ?",,[],[],0,0,0,,"['#acte17', '#giletsjaunes', '#castaner', '#œildutigre']",https://twitter.com/neya04338631/status/1106907551139094529,,,0
1106905775794982912,1106905775794982912,1552741876000,2019-03-16,14:11:16,CET,4241866936,_kik_ifr_ance,Scarlett,,Comment @BFMTV peut être aussi naïf et croire qu’il y’a 1500 casseurs 🙄 #GiletJaunes #Acte17,['bfmtv'],[],[],0,0,0,,"['#giletjaunes', '#acte17']",https://twitter.com/_Kik_ifr_ance/status/1106905775794982912,,,0
